source_frame,source_time_s,candidate_frame,candidate_time_s,candidate_minus_source_sampling_ms,source_mouth_aperture,candidate_mouth_aperture,source_mouth_width,candidate_mouth_width,source_left_eye_aperture,candidate_left_eye_aperture,source_right_eye_aperture,candidate_right_eye_aperture,source_left_brow_height,candidate_left_brow_height,source_right_brow_height,candidate_right_brow_height,source_interocular_width_fraction,candidate_interocular_width_fraction,source_face_center_x,candidate_face_center_x,source_nose_x,candidate_nose_x,source_shoulder_center_x,candidate_shoulder_center_x,source_face_center_y,candidate_face_center_y,source_nose_y,candidate_nose_y,source_shoulder_center_y,candidate_shoulder_center_y,source_head_pitch_deg,candidate_head_pitch_deg,source_head_yaw_deg,candidate_head_yaw_deg,source_head_roll_deg,candidate_head_roll_deg,source_left_wrist_x,candidate_left_wrist_x,source_left_wrist_body_relative_x,candidate_left_wrist_body_relative_x,source_left_wrist_y,candidate_left_wrist_y,source_left_wrist_body_relative_y,candidate_left_wrist_body_relative_y,source_right_wrist_x,candidate_right_wrist_x,source_right_wrist_body_relative_x,candidate_right_wrist_body_relative_x,source_right_wrist_y,candidate_right_wrist_y,source_right_wrist_body_relative_y,candidate_right_wrist_body_relative_y,source_left_elbow_x,candidate_left_elbow_x,source_left_elbow_body_relative_x,candidate_left_elbow_body_relative_x,source_left_elbow_y,candidate_left_elbow_y,source_left_elbow_body_relative_y,candidate_left_elbow_body_relative_y,source_right_elbow_x,candidate_right_elbow_x,source_right_elbow_body_relative_x,candidate_right_elbow_body_relative_x,source_right_elbow_y,candidate_right_elbow_y,source_right_elbow_body_relative_y,candidate_right_elbow_body_relative_y
0,0.0,0,0.0,0.0,0.07211704762648886,0.0775952900073409,0.5812690617676939,0.5771928384629619,0.06565816211193243,0.06644714835274458,0.06481206033841454,0.06566840602164409,0.10258022904017612,0.10369235914769462,0.12045871092984073,0.1223552884220036,0.12456715768274734,0.12359974399065567,0.4936879575252533,0.49551181495189667,0.49393728375434875,0.4952278435230255,0.5135730803012848,0.5154808014631271,0.33397042751312256,0.33438438177108765,0.3970167338848114,0.40249326825141907,0.7563057839870453,0.7481092214584351,174.60671997070312,177.5596160888672,0.6314796209335327,1.090984344482422,-2.0726208686828613,-1.7323061227798464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.041666666666666664,1,0.041666666666666664,0.0,0.098694191802947,0.07947994749828251,0.5717473907150467,0.5692734397211344,0.06702691221372069,0.06350595422479038,0.06496499766920123,0.06142619563244763,0.10494243873452677,0.10955284108605,0.12149574800244736,0.12457693384771537,0.12256703002716178,0.12390679399531629,0.4944158345460892,0.4952234625816345,0.4942273199558258,0.49543431401252747,0.5154961347579956,0.5208294540643692,0.3319381922483444,0.3343302607536316,0.39506179094314575,0.3948720693588257,0.7628806531429291,0.7374700903892517,175.13539123535156,173.7200622558594,1.8842319250106812,1.220892310142517,-2.0283424854278564,-2.148359775543213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.08333333333333333,2,0.08333333333333333,0.0,0.08919339365106137,0.0929147203938562,0.5796511787429373,0.5701811778861965,0.06921263454557261,0.06903772567736556,0.06709697981771552,0.06642674482095759,0.09924565677541357,0.10241256636879868,0.11579952582266542,0.11708491440334913,0.12233908261008644,0.1236735558294572,0.494650661945343,0.49473002552986145,0.49394768476486206,0.4950885474681854,0.5139974653720856,0.5202009379863739,0.3307815045118332,0.33334147930145264,0.3945818543434143,0.39481911063194275,0.7603663504123688,0.7322043478488922,175.41357421875,174.3690185546875,2.739363670349121,1.0439414978027344,-2.0167737007141113,-2.084811210632324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.125,3,0.125,0.0,0.08443195202203027,0.08497570011559609,0.5749437886932625,0.5718898709614476,0.07274590042663658,0.07194371166917236,0.07082565414759372,0.0704481070686092,0.09799903665781096,0.10094505113349773,0.113953485615585,0.11607136624785738,0.12281028660852854,0.12250534088096802,0.494927778840065,0.4952092170715332,0.49418434500694275,0.4952538013458252,0.5146475285291672,0.5199661552906036,0.33084069192409515,0.3322645574808121,0.3956104516983032,0.3973548710346222,0.7595556378364563,0.7351963818073273,175.93972778320312,176.31439208984375,2.4587340354919434,1.6039773225784302,-1.8576358556747437,-1.9039279222488403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.16666666666666666,4,0.16666666666666666,0.0,0.06667624228884438,0.07985595378001879,0.5474786531473582,0.5435359485357203,0.07396453190545237,0.07011642294635081,0.07227622162526501,0.06923977388999887,0.10032611110608884,0.10401368761242481,0.11396974285757362,0.11731739575503383,0.12267127198771582,0.12282932949127441,0.4949055165052414,0.49536940455436707,0.49454471468925476,0.49553340673446655,0.5148116201162338,0.5201407968997955,0.33226044476032257,0.33363065123558044,0.397142231464386,0.39833176136016846,0.7598936259746552,0.7413458824157715,176.4197540283203,176.58973693847656,1.552024006843567,0.5201678276062012,-1.5890085697174072,-1.5818188190460205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.20833333333333334,5,0.20833333333333334,0.0,0.07066680162648481,0.06590721706804381,0.5402734920908278,0.5353790831899734,0.07561536950280183,0.07616957973920502,0.07338404316898661,0.07502211895313342,0.09795282563421463,0.10075762005560011,0.11224066496212975,0.11639177919543718,0.12266062979212838,0.12208052830430394,0.4945841133594513,0.49484771490097046,0.49368518590927124,0.4954553544521332,0.5145839154720306,0.517530158162117,0.33316805958747864,0.33462129533290863,0.39888036251068115,0.40186789631843567,0.760349690914154,0.7461330592632294,176.93553161621094,177.87115478515625,2.7839016914367676,0.4584411382675171,-1.8478528261184692,-1.8995066881179812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.25,6,0.25,0.0,0.08741436982142085,0.07512533942643818,0.5391078563865555,0.5351140344938665,0.07793761492451556,0.07589002588867486,0.07587158791159158,0.07434420439930689,0.09482695994422516,0.10321435596964619,0.1113914693529053,0.11923963711019324,0.12219673901286802,0.12144419286780342,0.49407780170440674,0.49455423653125763,0.49397364258766174,0.49564129114151,0.5136882662773132,0.5176956653594971,0.33589255809783936,0.3361876606941223,0.4038746953010559,0.4053843021392822,0.7598796188831329,0.7435784637928009,177.79676818847656,178.60537719726562,1.782158613204956,-0.6466467976570129,-2.144287347793579,-1.9377417564392092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.2916666666666667,7,0.2916666666666667,0.0,0.06526030316657036,0.06690715395659207,0.5470991550408325,0.5405866604000747,0.07513989916979431,0.07741778263629273,0.07431483652996954,0.0765004011758564,0.09992213604113978,0.10166166815951833,0.11638128924489519,0.11831121381265043,0.12248087777243323,0.12191898954845291,0.49437685310840607,0.4943927526473999,0.4937928318977356,0.4957440495491028,0.5137545615434647,0.5169191509485245,0.33800408244132996,0.3386199325323105,0.4081997275352478,0.4092223644256592,0.7615366280078888,0.7454550564289093,178.26040649414062,179.0096435546875,2.260242462158203,-1.203903079032898,-1.8202438354492188,-1.8909324407577515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.3333333333333333,8,0.3333333333333333,0.0,0.05822720737550302,0.057782093612203954,0.5578870725750888,0.5451386496222125,0.07943694685055479,0.0783532710672865,0.08040138994862785,0.07900325216271961,0.09322145774779347,0.09721244912196679,0.11269213248056699,0.11917979664183576,0.12264361430336343,0.12168619945748342,0.4940202534198761,0.4943356215953827,0.49388551712036133,0.49573880434036255,0.5132638663053513,0.5168218016624451,0.34009119868278503,0.3408869504928589,0.4143495261669159,0.4155346751213074,0.7628552913665771,0.7457275390625,180.1278533935547,180.96351623535156,1.9119635820388796,-0.575851321220398,-1.8943107128143308,-2.283055543899536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.375,9,0.375,0.0,0.049190346435448146,0.047909853783235805,0.5582888919859982,0.549921026883533,0.07798769426016178,0.07830241797177005,0.07930846606810989,0.07905836114858182,0.09507152044574364,0.09831647658580409,0.11745471718540323,0.11987688185926149,0.12345401679278072,0.12321788077349191,0.49429190158843994,0.4946081340312958,0.4938112795352936,0.4949340224266052,0.512980192899704,0.5165485441684723,0.34275640547275543,0.34425999224185944,0.41752731800079346,0.418428510427475,0.7616311013698578,0.7482941746711731,180.47050476074216,180.41397094726562,2.5563719272613525,1.1798216104507446,-2.0791940689086914,-2.100534677505493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.4166666666666667,10,0.4166666666666667,0.0,0.04647201863905409,0.04488083859940011,0.5493366348892478,0.5442153616697046,0.07829486242049928,0.07731107463186963,0.07838721566069419,0.0780840872503702,0.09604911976849508,0.09982759871548888,0.11844798694763779,0.12027290762633942,0.12356897283884297,0.12386908717811176,0.4940807819366455,0.49433082342147827,0.4941421151161194,0.4948490262031555,0.5124829560518265,0.5164919346570969,0.34661412239074707,0.3466033637523651,0.4205743670463562,0.42036598920822144,0.7631553709506989,0.7481303513050079,180.50021362304688,180.23146057128906,1.870193004608154,0.7796659469604492,-2.312319040298462,-2.057317018508911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.4583333333333333,11,0.4583333333333333,0.0,0.0422795772469771,0.04412594497886724,0.5513517286491618,0.5448454952410933,0.07985582342773329,0.07915330749022162,0.08090501558655479,0.08036092310408013,0.09996544723753893,0.0987795928681904,0.1218435047572708,0.11972211624554056,0.12307243495408554,0.12292937299540499,0.4937937557697296,0.49417632818222046,0.4943256378173828,0.49519243836402893,0.5124229788780212,0.5167834162712097,0.34639742970466614,0.34676046669483185,0.42083826661109924,0.4209116995334625,0.7630420625209808,0.7494809031486511,180.57855224609375,180.63385009765625,1.1141752004623413,0.04255647212266922,-2.1857151985168457,-2.0956268310546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.5,12,0.5,0.0,0.04060612936521791,0.04361510328238195,0.5489374226305284,0.5453629106250685,0.08039869576628678,0.08126564657970697,0.08166265054943052,0.08203523077361274,0.09758919661311714,0.09703174999704402,0.12250239264633091,0.11737035088181458,0.12337345738778056,0.12248311298834319,0.4939577132463455,0.4942207634449005,0.4943331182003021,0.49523329734802246,0.5121724307537079,0.5163593590259552,0.3459889441728592,0.3457828015089035,0.41963377594947815,0.4209877848625183,0.7629969120025635,0.750892847776413,180.0290985107422,181.0824432373047,1.508809804916382,0.11615177989006044,-2.371185064315796,-2.1094882488250732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.5416666666666666,13,0.5416666666666666,0.0,0.04024794545583371,0.0441545285078376,0.5492353470590732,0.5403209703252845,0.08202598321015285,0.0826235792068678,0.08257524575358346,0.08283337771082708,0.10200373602603811,0.10020765943962731,0.12341161442210258,0.11939612787458971,0.12294075962898023,0.12282848925578739,0.4940260797739029,0.4944930672645569,0.494339257478714,0.4955221712589264,0.5118717700242996,0.5167904794216156,0.3450268656015396,0.34499432146549225,0.4193800091743469,0.4209790527820587,0.762986034154892,0.7513507604598999,180.253173828125,181.56692504882812,1.5198241472244263,0.1639818400144577,-2.1787564754486084,-2.0979113578796387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
