source_frame,source_time_s,candidate_frame,candidate_time_s,candidate_minus_source_sampling_ms,source_mouth_aperture,candidate_mouth_aperture,source_mouth_width,candidate_mouth_width,source_left_eye_aperture,candidate_left_eye_aperture,source_right_eye_aperture,candidate_right_eye_aperture,source_left_brow_height,candidate_left_brow_height,source_right_brow_height,candidate_right_brow_height,source_interocular_width_fraction,candidate_interocular_width_fraction,source_face_center_x,candidate_face_center_x,source_nose_x,candidate_nose_x,source_shoulder_center_x,candidate_shoulder_center_x,source_face_center_y,candidate_face_center_y,source_nose_y,candidate_nose_y,source_shoulder_center_y,candidate_shoulder_center_y,source_head_pitch_deg,candidate_head_pitch_deg,source_head_yaw_deg,candidate_head_yaw_deg,source_head_roll_deg,candidate_head_roll_deg,source_left_wrist_x,candidate_left_wrist_x,source_left_wrist_body_relative_x,candidate_left_wrist_body_relative_x,source_left_wrist_y,candidate_left_wrist_y,source_left_wrist_body_relative_y,candidate_left_wrist_body_relative_y,source_right_wrist_x,candidate_right_wrist_x,source_right_wrist_body_relative_x,candidate_right_wrist_body_relative_x,source_right_wrist_y,candidate_right_wrist_y,source_right_wrist_body_relative_y,candidate_right_wrist_body_relative_y,source_left_elbow_x,candidate_left_elbow_x,source_left_elbow_body_relative_x,candidate_left_elbow_body_relative_x,source_left_elbow_y,candidate_left_elbow_y,source_left_elbow_body_relative_y,candidate_left_elbow_body_relative_y,source_right_elbow_x,candidate_right_elbow_x,source_right_elbow_body_relative_x,candidate_right_elbow_body_relative_x,source_right_elbow_y,candidate_right_elbow_y,source_right_elbow_body_relative_y,candidate_right_elbow_body_relative_y
0,0.0,0,0.0,0.0,0.030449081927857433,0.04100304320908024,0.5655326077308167,0.5731632714735514,0.08289271407812064,0.07756508797897432,0.08256745175617129,0.0800157226300966,0.11383112071302802,0.10901876818954313,0.08608126879802956,0.08714880209569084,0.08417680673429347,0.08273989893350829,0.4981922209262848,0.49758514761924744,0.49701955914497375,0.4976820647716522,0.4972679764032364,0.49819839000701904,0.23069780319929123,0.23063721507787704,0.28752121329307556,0.2846073508262634,0.48873308300971985,0.4858989864587784,-170.7059783935547,-171.93698120117188,-2.362699270248413,-5.669965744018556,2.7678754329681396,1.8706287145614624,0.6370705962181091,0.6386849880218506,0.5391024690989911,0.5483132403568375,0.8497632145881653,0.8485570549964905,0.783108589317415,0.7961844811187285,0.3321846127510071,0.329833060503006,-0.6365892790130363,-0.6571227482805577,0.8562011122703552,0.8629056215286255,0.7970729998502077,0.8276855202249286,0.7208138704299927,0.723747193813324,0.8620306514023205,0.8803074259125225,0.7902810573577881,0.7840654850006104,0.6540861500141288,0.6545988067650845,0.26584872603416443,0.2729910910129547,-0.8923916407018002,-0.878974547098151,0.7648471593856812,0.7729252576828003,0.5989176135966858,0.6301413994272607
1,0.041666666666666664,1,0.041666666666666664,0.0,0.0860970715788079,0.05102614867280996,0.6045066406954286,0.5987604431269699,0.07545041024756681,0.08262543493819735,0.076811194020471,0.08375671924075295,0.11383463838682618,0.11582842959392103,0.08993561149494059,0.09173239508602897,0.08372283970175112,0.08312633426647599,0.49711523950099945,0.4966760575771332,0.49677199125289917,0.4958619177341461,0.49836598336696625,0.49973544478416443,0.23186461627483368,0.2328140139579773,0.28749585151672363,0.2894582152366638,0.49033553898334503,0.48595981299877167,-171.1179962158203,-169.81588745117188,-4.78781795501709,-2.981698751449585,2.1621086597442627,2.253669261932373,0.625127911567688,0.6292060017585754,0.48879791818139173,0.49887476877600795,0.850283145904541,0.8482211232185364,0.7807326254879788,0.785172360979762,0.34201687574386597,0.3391990661621094,-0.6028869977007391,-0.6185773092877337,0.8554534316062927,0.8591110110282898,0.7919470651809626,0.8087753201729524,0.7188493013381958,0.7171907424926758,0.8501904976343616,0.8378967689533653,0.8004865050315857,0.7939478158950806,0.6727228445596783,0.667539316414538,0.26879745721817017,0.2716534733772278,-0.8852233415368875,-0.8788433710847501,0.7816804051399231,0.7848759293556213,0.6319320865124345,0.6478767292936374
2,0.08333333333333333,2,0.08333333333333333,0.0,0.05840492550577798,0.05379622023804191,0.5916627436162564,0.591979043650893,0.07925464026383142,0.08364001294552517,0.08051705813732501,0.08528671534545818,0.11401847053341635,0.11539280957607093,0.09040347681378884,0.09337483835278178,0.08350706184741384,0.08284611135623864,0.4967147260904312,0.4963410198688507,0.4961601197719574,0.49578118324279785,0.4980734586715698,0.49936650693416595,0.23314379155635834,0.23419895768165588,0.28970107436180115,0.2906478941440582,0.48948244750499725,0.4872874468564987,-169.83816528320312,-169.70578002929688,-3.667502164840698,-3.716618061065674,2.16229248046875,2.093226432800293,0.6269183158874512,0.6315850019454956,0.49715733728842554,0.510642260871825,0.8477424383163452,0.8481354713439941,0.7775845125083525,0.7839193844234559,0.34766829013824463,0.3385211229324341,-0.5803493807840404,-0.6212024311001515,0.8568089008331299,0.8599151968955994,0.797262793692705,0.8095100890315994,0.718894362449646,0.7168206572532654,0.8520536629257114,0.8398316661023226,0.7956584692001343,0.7942463755607605,0.6645389903360057,0.6668487510078278,0.26906436681747437,0.27189624309539795,-0.8836483875352461,-0.8785149898868972,0.7796667218208313,0.7838903665542603,0.6298297417204103,0.6443509800501244
3,0.125,3,0.125,0.0,0.03807894274945319,0.038440058119081424,0.5847381390047223,0.5851283628687254,0.08022689136989752,0.0827799982145085,0.08213594211815395,0.08436689168375804,0.11108798492729792,0.11505755179060727,0.09133000314534104,0.09647243976960387,0.0827021148017394,0.08234961640646848,0.4962538927793503,0.4959113746881485,0.4956241250038147,0.4951423704624176,0.4984549283981323,0.49921517074108124,0.23442741483449936,0.23576880246400833,0.29077503085136414,0.29325801134109497,0.4898022711277008,0.4870608150959015,-169.27389526367188,-168.4409637451172,-2.964360475540161,-2.106184720993042,1.9848946332931519,1.8680454492568972,0.6263829469680786,0.6321266889572144,0.4912946283613349,0.511352047759288,0.8497046828269958,0.8485912084579468,0.7774699750143483,0.7823925764143093,0.34640973806381226,0.33798515796661377,-0.5839141895142038,-0.6203021250454175,0.8544294834136963,0.8600671291351318,0.7876766045746941,0.8072277640228863,0.7156815528869629,0.7179577946662903,0.8342369008871617,0.8415710705712057,0.8048039674758911,0.7949638962745667,0.6804743536809831,0.6663370200469865,0.26810699701309204,0.27156099677085876,-0.8846279541314024,-0.8758565819052705,0.7828396558761597,0.7844864726066589,0.6330265116117324,0.6436626926647532
4,0.16666666666666666,4,0.16666666666666666,0.0,0.03570266413639549,0.039439469435685874,0.5809848086772385,0.5879674708054727,0.0801351617817514,0.08483131949442492,0.08110366839634355,0.08514043148967354,0.11421758026693361,0.11219670837154372,0.09485359288233464,0.09440751979815235,0.08276853415088807,0.08244889521057107,0.4959784746170044,0.49566514790058136,0.4952359199523926,0.4951165020465851,0.49808384478092194,0.49889953434467316,0.2353309541940689,0.23654823750257492,0.29202190041542053,0.2936484217643738,0.4903355538845062,0.4877966046333313,-168.76783752441406,-168.1721954345703,-2.135486602783203,-2.177680730819702,1.9174578189849854,1.6365172863006594,0.629656195640564,0.632321298122406,0.5057351745619353,0.5114017173279497,0.8510428667068481,0.8493390083312988,0.779894755441055,0.7795020692867725,0.3412238657474518,0.33765384554862976,-0.6029352547094056,-0.6180500079387119,0.8524872064590454,0.8599840998649597,0.7830176003565072,0.8024533767775746,0.7158927917480469,0.7201305627822876,0.8372096804219854,0.8479720599234531,0.8033950924873352,0.796479344367981,0.6768742512780577,0.6655341999033744,0.26975786685943604,0.2712542414665222,-0.8776348339654606,-0.8725577478757618,0.7807753682136536,0.7837449908256531,0.6279675512931431,0.6380783473235855
5,0.20833333333333334,5,0.20833333333333334,0.0,0.04177906760223559,0.03781753236373733,0.5783003131186367,0.5894559412929661,0.0812013327658131,0.08491621738661215,0.0821868687174957,0.08552361498142057,0.11427214983999877,0.10945572953566579,0.09535166966108621,0.09186147581016467,0.08272622151478967,0.08247008725498031,0.4955747276544571,0.4955980032682419,0.49492189288139343,0.4947715401649475,0.49788591265678406,0.4991441071033478,0.23497045785188675,0.2366258129477501,0.2918732166290283,0.29434633255004883,0.49081581830978394,0.4876159131526947,-168.7707061767578,-167.58401489257812,-2.430464744567871,-1.6223328113555908,1.8613587617874146,1.7791783809661865,0.6234486103057861,0.6319974660873413,0.4819394948298113,0.5080074416263313,0.8534650802612305,0.8494895696640015,0.7829629382369646,0.7783537647163533,0.3409665822982788,0.3374693989753723,-0.6022937083863404,-0.6182151168768873,0.8549912571907043,0.8586589097976685,0.78625796761753,0.7980760912371883,0.7152588963508606,0.7213484048843384,0.8343292069434497,0.8496694227181468,0.8043801188468933,0.7964714765548706,0.6769880758991422,0.6643171897210558,0.2663002014160156,0.2715373635292053,-0.8888810353308424,-0.8703274074833997,0.7860180139541626,0.7830585241317749,0.637344130336797,0.6354672808464327
6,0.25,6,0.25,0.0,0.04284917543979996,0.037280097649450276,0.5803214701597679,0.5894336063567883,0.08056994670444585,0.08396007301831157,0.08152054562150818,0.08485041881382795,0.11458164621252072,0.10879418539242199,0.09525082365868681,0.0905902286809623,0.08258923573703777,0.0828131608315784,0.4956032335758209,0.4955780655145645,0.4947962760925293,0.4947851002216339,0.49833790957927704,0.49932943284511566,0.2349644899368286,0.2364245280623436,0.2916072607040405,0.2934318780899048,0.4905915856361389,0.48747578263282776,-168.7447509765625,-167.96075439453125,-2.0795629024505615,-1.8125199079513552,1.9432324171066282,1.8501408100128174,0.6251670718193054,0.6320998072624207,0.48509966078472655,0.5076039200055595,0.855809211730957,0.8494626879692078,0.7857531001836675,0.7784651491873541,0.33957594633102417,0.3378105163574219,-0.6072371145327803,-0.6175145285537275,0.8537024855613708,0.859005868434906,0.7812205516407869,0.7989880832919679,0.7149913311004639,0.7214764356613159,0.8286619530678262,0.8493061041808141,0.8017154932022095,0.7964832782745361,0.6693723343128793,0.664531127089247,0.26835864782333374,0.2718992233276367,-0.8796309925488077,-0.8695047098075461,0.7841517329216003,0.7821747064590454,0.6315845110937766,0.6337600568411308
7,0.2916666666666667,7,0.2916666666666667,0.0,0.0409851968340111,0.038656092343265176,0.5766864569607956,0.5891131522549068,0.07997984677296092,0.08407249696380434,0.08173083472364737,0.08526219761342901,0.11149894503351893,0.10715389214163808,0.09464717628378841,0.0891456204047263,0.08300545692541564,0.08291712621335291,0.4952298551797867,0.49542027711868286,0.49431663751602173,0.4946523904800415,0.49863772094249725,0.49951979517936707,0.23439627140760422,0.23599448800086975,0.2908954322338104,0.2925418019294739,0.4910866767168045,0.4876423627138138,-168.6571044921875,-168.31564331054688,-1.6404796838760376,-1.8453518152236938,1.92210853099823,1.8259565830230713,0.6250474452972412,0.6313604712486267,0.4831979446764709,0.5046766699332448,0.8557488918304443,0.8496871590614319,0.784075505114218,0.779558379057514,0.3370569944381714,0.33717870712280273,-0.6176382026363558,-0.6214300635919564,0.8528224229812622,0.8595507740974426,0.7777831818462083,0.8007968109496189,0.7148568630218506,0.7212998270988464,0.8264921514998347,0.848958085651905,0.800690233707428,0.7952057719230652,0.6656915777713153,0.662248526036975,0.26833832263946533,0.2716643512248993,-0.8803135715094753,-0.8722143280021762,0.7809848189353943,0.7816033959388733,0.6233221399724125,0.63295975768416
8,0.3333333333333333,8,0.3333333333333333,0.0,0.03855226430670102,0.03635585297814117,0.5809052931883522,0.5908400310475204,0.080403745950735,0.08426330504989292,0.08162103764765258,0.08527578400867378,0.11306970827604067,0.10773976641345229,0.09492631547746784,0.08905413620230133,0.08267104214167557,0.08275711960152646,0.4953155666589737,0.49539247155189514,0.49444580078125,0.4947006404399872,0.49855609238147736,0.4997037649154663,0.23433104157447815,0.2358262687921524,0.2909095287322998,0.2923111021518707,0.49141116440296173,0.48782166838645935,-168.71400451660156,-168.36509704589844,-1.7584478855133057,-2.0333666801452637,1.9161648750305176,1.8475888967514038,0.624890923500061,0.6314791440963745,0.48408072752378123,0.505239230111013,0.8550657629966736,0.850101888179779,0.7838018768574877,0.781321795578875,0.3421294093132019,0.3360285758972168,-0.5993845234395059,-0.6275461091584239,0.8551691770553589,0.8598287105560303,0.7840247700468065,0.8022994198295863,0.7148345708847046,0.7213199734687805,0.8287203322677181,0.8496974418558184,0.7950090765953064,0.7936509251594543,0.6543588732456337,0.6595752431053246,0.26877960562705994,0.2710374593734741,-0.8804410303246532,-0.8767281785299095,0.7849520444869995,0.7814692854881287,0.6326824784672087,0.6333033682938184
9,0.375,9,0.375,0.0,0.03988129283838154,0.03670852075617739,0.5811569934500103,0.5873733742223967,0.08123174438823216,0.08452970599937326,0.08248613720089083,0.08552593518315595,0.1127321071518496,0.10880040550704417,0.0950524387603189,0.08984128520330673,0.08262113481743233,0.08263277688454948,0.49523305892944336,0.49535804986953735,0.49444296956062317,0.49463823437690735,0.4984448254108429,0.4998370409011841,0.234096921980381,0.2356247454881668,0.29082173109054565,0.29228654503822327,0.49126385152339935,0.48851528763771057,-168.55467224121094,-168.14373779296875,-1.929396390914917,-2.0100605487823486,1.8249367475509644,1.8637093305587766,0.6258881092071533,0.6316930651664734,0.48956550940556615,0.5054134947104564,0.8551385402679443,0.8511675000190735,0.7862637149427949,0.7819153065858168,0.34174540638923645,0.3348199725151062,-0.6019511473000037,-0.632522129228473,0.8548170924186707,0.8601347804069519,0.7855691275258951,0.8012496813789188,0.7146634459495544,0.7212875485420227,0.8305904866370656,0.8488355052096359,0.7969557642936707,0.793239951133728,0.6605418469528697,0.657017579231493,0.26808083057403564,0.270965039730072,-0.8849290690063635,-0.8772826163826516,0.7852635979652405,0.781605064868927,0.6352773083150242,0.6319315729967754
